Marker,Animal,Subset,Cell_Type,percentage
CXCR3,G45T AxLN,RI,DN NK,66.4
CXCR3,G45T AxLN,TR,DN NK,56.7
CXCR3,DGA0 AxLN,RI,CD16 NK,50
CXCR3,DGA0 AxLN,TR,CD16 NK,68.7
CXCR3,DGA0 AxLN,RI,CD56 NK,56.1
CXCR3,DGA0 AxLN,TR,CD56 NK,48.7
CXCR3,DGA0 AxLN,RI,DN NK,33.3
CXCR3,DGA0 AxLN,TR,DN NK,46.5
CXCR3,DGF5 AxLN,RI,CD56 NK,60.6
CXCR3,DGF5 AxLN,TR,CD56 NK,65.5
CXCR3,DGF5 AxLN,RI,DN NK,62.5
CXCR3,DGF5 AxLN,TR,DN NK,64.3
CXCR3,TID AxLN,RI,CD16 NK,0
CXCR3,TID AxLN,TR,CD16 NK,0
CXCR3,TID AxLN,RI,CD56 NK,0
CXCR3,TID AxLN,TR,CD56 NK,2.3
CXCR3,TID AxLN,RI,DN NK,0
CXCR3,TID AxLN,TR,DN NK,5.2
KI67,G45T AxLN,RI,CD16 NK,17.6
KI67,G45T AxLN,TR,CD16 NK,10.1
KI67,G45T AxLN,RI,CD56 NK,1
KI67,G45T AxLN,TR,CD56 NK,9.9
KI67,G45T AxLN,RI,DN NK,18.2
KI67,G45T AxLN,TR,DN NK,18.7
KI67,DGA0 AxLN,RI,CD16 NK,0
KI67,DGA0 AxLN,TR,CD16 NK,7
KI67,DGA0 AxLN,RI,CD56 NK,2.4
KI67,DGA0 AxLN,TR,CD56 NK,7.4
KI67,DGA0 AxLN,RI,DN NK,5.6
KI67,DGA0 AxLN,TR,DN NK,12.3
KI67,DGF5 AxLN,RI,CD56 NK,11.1
KI67,DGF5 AxLN,TR,CD56 NK,21
KI67,DGF5 AxLN,RI,DN NK,25
KI67,DGF5 AxLN,TR,DN NK,21.4
KI67,TID AxLN,RI,CD16 NK,0
KI67,TID AxLN,TR,CD16 NK,15.4
KI67,TID AxLN,RI,CD56 NK,4.7
KI67,TID AxLN,TR,CD56 NK,6
KI67,TID AxLN,RI,DN NK,26.1
KI67,TID AxLN,TR,DN NK,4.5
